xh_initial,qh_initial
-0.000448957,-0.005344735
0.00810789,0.008981346
0.002094448,0.003804017
-0.002025468,-7.5792e-05
0.021830353,0.018267263
0.002992372,0.00297752
0.009050648,0.008312305
0.000699589,-0.001104078
-0.003186424,-0.004421192
-0.019050467,-0.014284657
-0.000112888,-7.50863e-05
-0.007635829,-0.01208981
-0.008111736,-0.0104135
0.00070349,0.000153622
-0.016321728,-0.013516627
0.015260327,0.015025302
-0.015287267,-0.015109679
0.00514767,0.005762791
0.015572639,0.00952381
-0.004053252,-0.007593189
-0.008257957,-0.002164
-0.008538644,-0.00650608
0.016163383,0.013019412
0.013829555,0.017777436
-0.00324047,-0.004763705
-0.003867901,0.001215621
0.000364736,-0.00242829
-0.02809343,-0.031872813
-7.42469e-05,0.002750059
-0.000562755,-0.00133208
