month,ID,country,debt_inf,debt_out,eq_inf,eq_out,fdi_inf,fdi_out,other_inf,other_out,port_inf,port_out,中文名称,iso2,GPRC,GPRHC
1995-06-01T00:00:00Z,TUR,Türkiye,0.013,,0,,0.073,0.024,0.595,-0.084,0.013,0.023,土耳其,TR,0.12934698164463,0.169053301215172
1995-06-01T00:00:00Z,UKR,Ukraine,,,,,,,,,,,乌克兰,UA,0.0739125609397888,0.0795544981956482
1995-06-01T00:00:00Z,ZAF,South Africa,-0.0388244077920315,,0.232131948686622,,,,,,0.193307540893555,,南非,ZA,0.0369562804698944,0.0497215576469898
1995-07-01T00:00:00Z,BEL,Belgium,,,,,,,,,,,比利时,BE,0.171573400497437,0.164982467889786
1995-07-01T00:00:00Z,BRA,Brazil,1.993762,-0.02718926,1.40694,-0.00344274,0.400319,0.082345,4.198348,-0.713867253,3.40070190429688,-0.0306319999694824,巴西,BR,0.0155975827947259,0.0103114042431116
1995-07-01T00:00:00Z,CAN,Canada,4.604,0.711,-0.33,0.469,,,,,4.274,1.18,加拿大,CA,0.202768564224243,0.0824912339448929
1995-07-01T00:00:00Z,CHL,Chile,,,,,,,,,,,智利,CL,0.00779879139736295,0.0206228084862232
1995-07-01T00:00:00Z,CHN,China,,,,,,,,,,,中国,CN,0.233963742852211,0.175293877720833
1995-07-01T00:00:00Z,COL,Colombia,,,,,,,,,,,哥伦比亚,CO,0.023396372795105,0.0206228084862232
1995-07-01T00:00:00Z,DEU,Germany,1.3071456,-0.3321656,0.77326,-0.36982,2.6788416,1.2466296,-3.3714136,-2.346676,2.08040551757813,-0.701985595703125,德国,DE,0.413335919380188,0.350587755441666
1995-07-01T00:00:00Z,DNK,Denmark,,,,,,,,,,,丹麦,DK,0.0389939546585083,0.0412456169724464
1995-07-01T00:00:00Z,ESP,Spain,,,,,0.4222672,0.1586864,2.131508,5.910396,2.4892248,0.0726192,西班牙,ES,0.0779879093170166,0.0515570230782032
1995-07-01T00:00:00Z,FIN,Finland,,,,,,,,,,,芬兰,FI,0.0116981863975525,0.0103114042431116
1995-07-01T00:00:00Z,FRA,France,,,,,,,,,,,法国,FR,1.03723919391632,0.928026378154755
1995-07-01T00:00:00Z,HUN,Hungary,,,,,,,,,,,匈牙利,HU,0.0272957682609558,0.0412456169724464
1995-07-01T00:00:00Z,IDN,Indonesia,,,,,,,,,,,印度尼西亚,ID,0.0194969773292542,0.0103114042431116
1995-07-01T00:00:00Z,IND,India,,,,,0.143,,,,,,印度,IN,0.226164937019348,0.237162306904793
1995-07-01T00:00:00Z,ITA,Italy,,,,,0.2703048,0.7813288,,,,,意大利,IT,0.124780662357807,0.103114046156406
1995-07-01T00:00:00Z,JPN,Japan,,,,,,,,,,,日本,JP,0.155975818634033,0.175293877720833
1995-07-01T00:00:00Z,MEX,Mexico,,,,,,,,,,,墨西哥,MX,0.0623903311789036,0.0928026363253593
1995-07-01T00:00:00Z,MYS,Malaysia,,,,,,,,,,,马来西亚,MY,0.0584909357130528,0.0103114042431116
1995-07-01T00:00:00Z,NLD,Netherlands,,,,,,,,,,,荷兰,NL,0.350945591926575,0.360899150371552
1995-07-01T00:00:00Z,PHL,Philippines,,,,,,,,,,,菲律宾,PH,0.0194969773292542,0.0103114042431116
1995-07-01T00:00:00Z,POL,Poland,,,,,,,,,,,波兰,PL,0.0623903311789036,0.0618684254586697
1995-07-01T00:00:00Z,PRT,Portugal,,,,,,,,,,,葡萄牙,PT,0.0194969773292542,0.0206228084862232
1995-07-01T00:00:00Z,SWE,Sweden,,,,,,,,,,,瑞典,SE,0.023396372795105,0.0103114042431116
