date,Debt,Equity,Total,country1,name,iso3
2013-04-01,840.4644906100003,959.2852654600017,1799.7497560700021,Brazil,Brazil,BRA
2013-08-01,5417.705731479999,881.9179412700007,6299.623672749999,Brazil,Brazil,BRA
2013-12-01,-2017.2680146599998,904.3187470400003,-1112.9492676199995,Brazil,Brazil,BRA
2013-02-01,605.5425375399998,1599.65884786,2205.2013853999997,Brazil,Brazil,BRA
2013-01-01,2226.53709533,3644.717938289999,5871.255033619998,Brazil,Brazil,BRA
2013-07-01,6342.004449210001,268.73155978999955,6610.736009000001,Brazil,Brazil,BRA
2013-06-01,6577.7319183,-3681.09652538,2896.63539292,Brazil,Brazil,BRA
2013-03-01,1418.4489600299999,1849.8398601300012,3268.288820160001,Brazil,Brazil,BRA
2013-05-01,2724.78975931,1905.935198819999,4630.724958129999,Brazil,Brazil,BRA
2013-11-01,-67.71734063000045,689.7625969400012,622.0452563100008,Brazil,Brazil,BRA
2013-10-01,-68.23877810000015,-124.45172949000022,-192.69050759000038,Brazil,Brazil,BRA
2013-09-01,6136.54861577,2227.751779479999,8364.300395249998,Brazil,Brazil,BRA
2014-04-01,3713.9001132700014,555.3735121100004,4269.273625380002,Brazil,Brazil,BRA
2014-08-01,4597.33131659,1609.58588349,6206.91720008,Brazil,Brazil,BRA
2014-12-01,-8885.06568743,-497.3904125199997,-9382.456099949999,Brazil,Brazil,BRA
2014-02-01,2936.0891766999994,-1178.9905319099987,1757.0986447900007,Brazil,Brazil,BRA
2014-01-01,5814.773157049998,195.08803758000067,6009.861194629999,Brazil,Brazil,BRA
2014-07-01,1077.175196210001,-5.315621189999888,1071.859575020001,Brazil,Brazil,BRA
2014-06-01,7558.9323246,1579.8207061599978,9138.75303076,Brazil,Brazil,BRA
2014-03-01,5785.26560477,1303.3222402900003,7088.58784506,Brazil,Brazil,BRA
2014-05-01,-125.77823786000057,6584.451259890001,6458.6730220300005,Brazil,Brazil,BRA
2014-11-01,1553.1336392299993,-336.95404116000054,1216.1795980699987,Brazil,Brazil,BRA
2014-10-01,4131.9726513099995,1023.5292353799985,5155.501886689998,Brazil,Brazil,BRA
2014-09-01,4587.597355090001,660.4013776800014,5247.998732770002,Brazil,Brazil,BRA
2015-04-01,2846.192630200001,3764.9989525199994,6611.191582720001,Brazil,Brazil,BRA
2015-08-01,-789.16479843,-917.1363225800009,-1706.3011210100008,Brazil,Brazil,BRA
2015-12-01,-3041.1296033199997,-1389.5258556000003,-4430.6554589200005,Brazil,Brazil,BRA
2015-02-01,1457.42282663,1199.2782613300003,2656.70108796,Brazil,Brazil,BRA
2015-01-01,10431.575935109999,1623.2354932399999,12054.811428349998,Brazil,Brazil,BRA
2015-07-01,-4370.55421517,15.066569440000478,-4355.48764573,Brazil,Brazil,BRA
2015-06-01,-897.8303485400008,790.8066861200009,-107.02366241999994,Brazil,Brazil,BRA
2015-03-01,1563.9706063900003,1354.0752523499984,2918.045858739999,Brazil,Brazil,BRA
2015-05-01,1478.3012370199997,2053.6794886499993,3531.9807256699987,Brazil,Brazil,BRA
2015-11-01,3264.2866049199997,898.1455964700001,4162.43220139,Brazil,Brazil,BRA
2015-10-01,-3302.8516814100003,118.5968630499998,-3184.2548183600006,Brazil,Brazil,BRA
2015-09-01,-4157.098700039999,275.6534013800006,-3881.4452986599986,Brazil,Brazil,BRA
2016-04-01,-949.1225488099998,1580.89653086,631.7739820500002,Brazil,Brazil,BRA
2016-08-01,-4147.293739779999,-1211.0762223400004,-5358.369962119999,Brazil,Brazil,BRA
2016-12-01,-2531.84475191,1282.98127175,-1248.86348016,Brazil,Brazil,BRA
2016-02-01,-6489.89012366,870.5706731300005,-5619.31945053,Brazil,Brazil,BRA
2016-01-01,-2324.2080325700003,3.582168749999688,-2320.6258638200006,Brazil,Brazil,BRA
2016-07-01,340.61200516999867,2945.485435599999,3286.097440769998,Brazil,Brazil,BRA
2016-06-01,804.9617433299998,2186.67125015,2991.6329934799996,Brazil,Brazil,BRA
2016-03-01,-992.077375800003,2027.0414982000004,1034.9641223999974,Brazil,Brazil,BRA
2016-05-01,-6068.359141110001,-656.1580031099999,-6724.517144220001,Brazil,Brazil,BRA
2016-11-01,-1005.0491438200004,194.25057692000019,-810.7985669000002,Brazil,Brazil,BRA
2016-10-01,-3275.687124349999,1602.8981009200004,-1672.7890234299987,Brazil,Brazil,BRA
2016-09-01,-5033.839855319999,212.6875688000009,-4821.152286519998,Brazil,Brazil,BRA
2017-04-01,4731.57267146,-383.4176504799994,4348.15502098,Brazil,Brazil,BRA
