date,gdp,ca,net_ex,export,import,net_fa,fa_in,fa_out,net_fdi,fdi,ofdi,net_fpi,fpi,ofpi,derivative,reserve,other_net,other_in,other_out,err_ommit
2010-06-30,14585.1027908411,437.641704936863,523.040011998257,4063.58147037493,-3540.54145837668,500.364725942845,-696.046487843534,1196.41121378638,482.476703626782,-109.457032465437,591.933736092219,-94.7757694764854,-78.5611031297001,-16.2146663467853,0,-820.556769,112.663791792548,-508.028352248397,620.692144040945,-131.339286413815
2010-09-30,15680.3612651185,826.317112233525,743.719125132606,4484.32965088873,-3740.61052575612,300.994150647571,-878.355900435912,1179.35005108348,413.676444142446,-178.907633199911,592.584077342358,141.2452503979,-5.66044015999995,146.9056905579,0,-1080.000012,-253.927543892775,-693.787827076001,439.860283183225,-56.13567474458
2010-12-31,17960.4080629055,864.191034433848,750.600684068119,4684.26813560034,-3933.66745153222,1308.7261668468,-112.250330417664,1420.97649726446,522.771121103126,-226.765276277221,749.536397380347,172.14515012,1.71508872999998,170.43006139,0,-1857.0574593384,613.809895623675,112.799857129557,501.010038494118,-327.932836693667
2011-03-31,15888.7970717661,15.0213517866923,74.4563308838915,4322.35831912556,-4247.90198824166,1087.74399093156,-301.361912268566,1389.10590320012,676.672267372,-61.395495605,738.067762977,-26.624346458,-28.294712794,1.670366336,0,-1411.90792154334,437.696070017556,-211.671703869566,649.367773887122,294.50246134129
2011-06-30,18353.1364003561,437.282193574626,534.992783335235,4970.95370064566,-4435.96091731043,1127.77747419192,-607.702569561461,1735.48004375338,617.9672829265,-113.1375310313,731.1048139578,110.812062713428,33.6890259277883,77.12303678564,0,-1425.27993491252,398.998128551987,-528.254064457949,927.252193009936,-153.957622625316
2011-09-30,19777.1978622996,424.327796253342,660.880530156839,5434.45191607552,-4773.57138591868,689.574447250519,-605.776247334732,1295.35069458525,417.134705341773,-158.997406309551,576.132111651323,99.4437149807385,41.2558763941663,58.1878385865722,0,-916.607470085669,172.996026928008,-488.034717419348,661.030744347356,-210.493950808192
2011-12-31,21759.4322021873,484.336274160839,548.707744750759,5360.76054902791,-4812.05280427715,-304.854414567263,-742.929900044701,438.075485477438,604.7415252626,-150.675977650625,755.417502913225,12.7600335741644,15.826678192895,-3.06664461873058,0,-124.219189584114,-922.355973404028,-608.080600586971,-314.275372817057,-67.7083651102619
2012-03-31,18627.4020147295,285.684757638622,38.1829094125869,4582.94325043573,-4544.76034102314,433.600311009107,-609.403771847301,1043.00408285641,456.7561905775,-154.378630535,611.1348211125,92.937574839882,34.1976681631081,58.7399066767739,0,-746.453453543,-116.093454408275,-489.222809475409,373.129355067134,12.2717964771712
2012-06-30,20699.5334272084,590.048486432109,687.49790526908,5552.29126974019,-4864.79336447111,-245.721750313798,-1118.97975590346,873.258005589666,376.9019736975,-139.314091665,516.2160653625,111.149231177805,24.5186425138845,86.630588663921,0,117.556608491,-733.772955189103,-1004.18430675235,270.411351563245,-470.823935414711
2012-09-30,21809.3603579889,761.949109479975,732.517088044416,5724.4072289497,-4991.89014090529,-587.216665065909,-558.937732950373,-28.2789321155354,349.3307646017,-143.131501245,492.4622658467,46.086733588338,-105.651643366428,151.738376954766,0,4.40712700310004,-982.634163255947,-310.154588338945,-672.479574917002,-187.299247127166
2012-12-31,24362.422569567,516.235121143706,860.250864753943,5891.27837463808,-5031.02750988414,38.9571884559327,-743.021811893022,781.979000348955,579.5158874975,-212.809641795,792.3255292925,227.619206094727,-16.9712978057866,244.590503900513,0,-341.0259771344,-768.177905136294,-513.240872292236,-254.937032844058,-224.892247275239
2013-03-31,20822.2104264183,409.788076585247,400.685888405417,5408.16598305913,-5007.48009465371,997.275398433603,-448.323161139989,1445.59855957359,380.979184639464,-212.615396275,593.594580914464,113.624959707618,-28.9570673014066,142.582027009024,0,-1569.69744391,502.671254086521,-206.750697563583,709.421951650104,146.93196057115
2013-06-30,23353.3352136511,426.712168337338,623.579601466484,5793.39594066306,-5169.81633919657,288.360663181554,-485.062137214107,773.422800395661,534.316830016515,-155.9323478876,690.249177904115,57.8022142869046,-49.1106032290397,106.912817515944,0,-465.8427636,-303.758381121866,-280.019186097467,-23.7391950243984,-257.751870138892
2013-09-30,24862.5630862873,325.873972497964,441.724344860322,5969.59031804675,-5527.86597318643,743.270587261662,-572.148404600874,1315.41899186254,415.452871567565,-157.6169483155,573.069819883065,98.1393668305619,22.4042956609786,75.7350711695833,0,-970.4887537684,229.678348863536,-436.935751946353,666.614100809888,-103.604398870427
